var_from,var_to,corr
Segmented neutrophils percent (%),PFA 18:3 (Octadecatrienoic) (gm),0.0505
Potassium (mg),PFA 18:3 (Octadecatrienoic) (gm),0.5711
PFA 18:4 (Octadecatetraenoic) (gm),PFA 18:3 (Octadecatrienoic) (gm),0.2121
"Albumin, urine (mg/L)",PFA 18:3 (Octadecatrienoic) (gm),-0.0799
Total fat (gm),PFA 18:3 (Octadecatrienoic) (gm),0.7812
Eosinophils number (1000 cells/uL),PFA 18:3 (Octadecatrienoic) (gm),0.1027
Total calcium (mmol/L),PFA 18:3 (Octadecatrienoic) (gm),0.0348
Potassium (mmol/L),PFA 18:3 (Octadecatrienoic) (gm),0.0801
Monocyte percent (%),PFA 18:3 (Octadecatrienoic) (gm),-0.0265
Albumin (g/L),PFA 18:3 (Octadecatrienoic) (gm),0.0563
Phosphorus (mmol/L),PFA 18:3 (Octadecatrienoic) (gm),3e-04
SFA 10:0 (Decanoic) (gm),PFA 18:3 (Octadecatrienoic) (gm),0.385
Total sugars (gm),PFA 18:3 (Octadecatrienoic) (gm),0.3437
"Cotinine, Serum (ng/mL)",PFA 18:3 (Octadecatrienoic) (gm),-0.049
Red cell distribution width (%),PFA 18:3 (Octadecatrienoic) (gm),-0.037
Zinc (mg),PFA 18:3 (Octadecatrienoic) (gm),0.4357
Thiamin (Vitamin B1) (mg),PFA 18:3 (Octadecatrienoic) (gm),0.4905
Sodium (mg),PFA 18:3 (Octadecatrienoic) (gm),0.6731
Retinol (mcg),PFA 18:3 (Octadecatrienoic) (gm),0.3211
SFA 4:0 (Butanoic) (gm),PFA 18:3 (Octadecatrienoic) (gm),0.3019
Basophils percent (%),PFA 18:3 (Octadecatrienoic) (gm),-0.0026
Gamma glutamyl transferase (U/L),PFA 18:3 (Octadecatrienoic) (gm),0.1285
Mean cell hemoglobin (pg),PFA 18:3 (Octadecatrienoic) (gm),0.0313
Blood urea nitrogen (mmol/L),PFA 18:3 (Octadecatrienoic) (gm),0.048
SFA 14:0 (Tetradecanoic) (gm),PFA 18:3 (Octadecatrienoic) (gm),0.4593
Alkaline phosphatase (IU/L),PFA 18:3 (Octadecatrienoic) (gm),0.0371
SFA 8:0 (Octanoic) (gm),PFA 18:3 (Octadecatrienoic) (gm),0.3306
Lymphocyte number (1000 cells/uL),PFA 18:3 (Octadecatrienoic) (gm),0.0096
Vitamin B6 (mg),PFA 18:3 (Octadecatrienoic) (gm),0.4046
Selenium (mcg),PFA 18:3 (Octadecatrienoic) (gm),0.5581
Mean cell volume (fL),PFA 18:3 (Octadecatrienoic) (gm),0.0313
Sodium (mmol/L),PFA 18:3 (Octadecatrienoic) (gm),-0.0098
Osmolality (mmol/Kg),PFA 18:3 (Octadecatrienoic) (gm),0.0035
Total bilirubin (umol/L),PFA 18:3 (Octadecatrienoic) (gm),0.0114
"Vitamin A, RAE (mcg)",PFA 18:3 (Octadecatrienoic) (gm),0.2874
Uric acid (umol/L),PFA 18:3 (Octadecatrienoic) (gm),0.1124
"Glucose, refrigerated serum (mmol/L)",PFA 18:3 (Octadecatrienoic) (gm),-0.0018
Vitamin K (mcg),PFA 18:3 (Octadecatrienoic) (gm),0.654
Lymphocyte percent (%),PFA 18:3 (Octadecatrienoic) (gm),-0.0487
Hemoglobin (g/dL),PFA 18:3 (Octadecatrienoic) (gm),0.126
Total protein (g/L),PFA 18:3 (Octadecatrienoic) (gm),-0.0077
SFA 12:0 (Dodecanoic) (gm),PFA 18:3 (Octadecatrienoic) (gm),0.3475
Phosphorus (mg),PFA 18:3 (Octadecatrienoic) (gm),0.5967
Red blood cell count (million cells/uL),PFA 18:3 (Octadecatrienoic) (gm),0.1123
Monocyte number (1000 cells/uL),PFA 18:3 (Octadecatrienoic) (gm),0.0326
Theobromine (mg),PFA 18:3 (Octadecatrienoic) (gm),0.1803
SFA 16:0 (Hexadecanoic) (gm),PFA 18:3 (Octadecatrienoic) (gm),0.6809
PFA 22:6 (Docosahexaenoic) (gm),PFA 18:3 (Octadecatrienoic) (gm),0.3529
Lactate dehydrogenase (U/L),PFA 18:3 (Octadecatrienoic) (gm),0.0262
Chloride (mmol/L),PFA 18:3 (Octadecatrienoic) (gm),-0.0651
"Iron, refrigerated serum  (umol/L)",PFA 18:3 (Octadecatrienoic) (gm),0.0205
Total polyunsaturated fatty acids (gm),PFA 18:3 (Octadecatrienoic) (gm),0.8594
Aspartate aminotransferase AST (U/L),PFA 18:3 (Octadecatrienoic) (gm),0.1185
Bicarbonate (mmol/L),PFA 18:3 (Octadecatrienoic) (gm),0.1464
PFA 20:4 (Eicosatetraenoic) (gm),PFA 18:3 (Octadecatrienoic) (gm),0.3842
Vitamin C (mg),PFA 18:3 (Octadecatrienoic) (gm),0.1861
Phosphorus (mg),PFA 18:4 (Octadecatetraenoic) (gm),0.2202
Aspartate aminotransferase AST (U/L),PFA 18:4 (Octadecatetraenoic) (gm),-0.0068
Glycohemoglobin (%),PFA 18:4 (Octadecatetraenoic) (gm),-0.0202
Vitamin B12 (mcg),PFA 18:4 (Octadecatetraenoic) (gm),0.0893
Vitamin B6 (mg),PFA 18:4 (Octadecatetraenoic) (gm),-0.0011
"Cotinine, Serum (ng/mL)",PFA 18:4 (Octadecatetraenoic) (gm),0.0309
Lactate dehydrogenase (U/L),PFA 18:4 (Octadecatetraenoic) (gm),0.0361
Hematocrit (%),PFA 18:4 (Octadecatetraenoic) (gm),-0.0594
Monocyte number (1000 cells/uL),PFA 18:4 (Octadecatetraenoic) (gm),-0.0834
Alanine aminotransferase ALT (U/L),PFA 18:4 (Octadecatetraenoic) (gm),0.0252
Riboflavin (Vitamin B2) (mg),PFA 18:4 (Octadecatetraenoic) (gm),0.0811
Albumin (g/L),PFA 18:4 (Octadecatetraenoic) (gm),-0.0324
Globulin (g/L),PFA 18:4 (Octadecatetraenoic) (gm),-0.0349
Zinc (mg),PFA 18:4 (Octadecatetraenoic) (gm),0.1045
Total fat (gm),PFA 18:4 (Octadecatetraenoic) (gm),0.2729
Monocyte percent (%),PFA 18:4 (Octadecatetraenoic) (gm),-0.1113
Alkaline phosphatase (IU/L),PFA 18:4 (Octadecatetraenoic) (gm),0.0337
Mean cell hemoglobin (pg),PFA 18:4 (Octadecatetraenoic) (gm),-0.0181
PFA 22:6 (Docosahexaenoic) (gm),PFA 18:4 (Octadecatetraenoic) (gm),0.2116
Potassium (mmol/L),PFA 18:4 (Octadecatetraenoic) (gm),0.0693
Retinol (mcg),PFA 18:4 (Octadecatetraenoic) (gm),0.1291
Total sugars (gm),PFA 18:4 (Octadecatetraenoic) (gm),0.1248
Selenium (mcg),PFA 18:4 (Octadecatetraenoic) (gm),0.1585
"Vitamin A, RAE (mcg)",PFA 18:4 (Octadecatetraenoic) (gm),0.1023
Red cell distribution width (%),PFA 18:4 (Octadecatetraenoic) (gm),-0.0141
Platelet count (1000 cells/uL),PFA 18:4 (Octadecatetraenoic) (gm),0.0048
"Iron, refrigerated serum  (umol/L)",PFA 18:4 (Octadecatetraenoic) (gm),-0.0805
Sodium (mg),PFA 18:4 (Octadecatetraenoic) (gm),0.2438
Basophils percent (%),PFA 18:4 (Octadecatetraenoic) (gm),0.036
Red blood cell count (million cells/uL),PFA 18:4 (Octadecatetraenoic) (gm),-0.0429
"Glucose, refrigerated serum (mmol/L)",PFA 18:4 (Octadecatetraenoic) (gm),-0.0079
Segmented neutrophils num (1000 cell/uL),PFA 18:4 (Octadecatetraenoic) (gm),0.0246
Lymphocyte number (1000 cells/uL),PFA 18:4 (Octadecatetraenoic) (gm),-0.0255
Segmented neutrophils percent (%),PFA 18:4 (Octadecatetraenoic) (gm),0.0478
SFA 14:0 (Tetradecanoic) (gm),PFA 18:4 (Octadecatetraenoic) (gm),0.2654
Total polyunsaturated fatty acids (gm),PFA 18:4 (Octadecatetraenoic) (gm),0.2397
SFA 4:0 (Butanoic) (gm),PFA 18:4 (Octadecatetraenoic) (gm),0.1805
PFA 20:4 (Eicosatetraenoic) (gm),PFA 18:4 (Octadecatetraenoic) (gm),0.1691
SFA 12:0 (Dodecanoic) (gm),PFA 18:4 (Octadecatetraenoic) (gm),0.2015
Osmolality (mmol/Kg),PFA 18:4 (Octadecatetraenoic) (gm),0.0493
Gamma glutamyl transferase (U/L),PFA 18:4 (Octadecatetraenoic) (gm),0.0347
Phosphorus (mmol/L),PFA 18:4 (Octadecatetraenoic) (gm),0.031
Eosinophils percent (%),PFA 18:4 (Octadecatetraenoic) (gm),-0.0159
Sodium (mmol/L),PFA 18:4 (Octadecatetraenoic) (gm),0.0325
Total saturated fatty acids (gm),PFA 18:4 (Octadecatetraenoic) (gm),0.2846
SFA 8:0 (Octanoic) (gm),PFA 18:4 (Octadecatetraenoic) (gm),0.2192
Hemoglobin (g/dL),PFA 18:4 (Octadecatetraenoic) (gm),-0.0506
SFA 16:0 (Hexadecanoic) (gm),PFA 18:4 (Octadecatetraenoic) (gm),0.2838
Vitamin K (mcg),PFA 18:4 (Octadecatetraenoic) (gm),0.0835
Eosinophils number (1000 cells/uL),PFA 18:4 (Octadecatetraenoic) (gm),0.0147
Mean cell volume (fL),PFA 18:4 (Octadecatetraenoic) (gm),-0.0227
Protein (gm),PFA 18:4 (Octadecatetraenoic) (gm),0.1624
PFA 22:5 (Docosapentaenoic) (gm),PFA 18:4 (Octadecatetraenoic) (gm),0.2205
Uric acid (umol/L),PFA 18:4 (Octadecatetraenoic) (gm),-0.0404
"Triglycerides, refrigerated  (mmol/L)",PFA 18:4 (Octadecatetraenoic) (gm),-0.075
Lymphocyte percent (%),PFA 18:4 (Octadecatetraenoic) (gm),-0.0277
Potassium (mg),PFA 18:4 (Octadecatetraenoic) (gm),0.0979
Vitamin C (mg),PFA 18:4 (Octadecatetraenoic) (gm),-0.0157
Cholesterol (mmol/L),PFA 18:4 (Octadecatetraenoic) (gm),-0.0053
Total protein (g/L),PFA 18:4 (Octadecatetraenoic) (gm),-0.0522
Theobromine (mg),PFA 18:4 (Octadecatetraenoic) (gm),0.0496
Creatinine (umol/L),PFA 18:4 (Octadecatetraenoic) (gm),-0.0084
Thiamin (Vitamin B1) (mg),PFA 18:4 (Octadecatetraenoic) (gm),0.1078
SFA 6:0 (Hexanoic) (gm),PFA 18:4 (Octadecatetraenoic) (gm),0.1942
Chloride (mmol/L),PFA 18:4 (Octadecatetraenoic) (gm),0.0582
Mean platelet volume (fL),PFA 18:4 (Octadecatetraenoic) (gm),0.0019
"Albumin, urine (mg/L)",PFA 18:4 (Octadecatetraenoic) (gm),-0.0253
Bicarbonate (mmol/L),PFA 18:4 (Octadecatetraenoic) (gm),0.0472
Basophils number (1000 cells/uL),PFA 18:4 (Octadecatetraenoic) (gm),0.0045
SFA 10:0 (Decanoic) (gm),PFA 18:4 (Octadecatetraenoic) (gm),0.2333
PFA 20:5 (Eicosapentaenoic) (gm),PFA 18:4 (Octadecatetraenoic) (gm),0.2319
Total calcium (mmol/L),PFA 18:4 (Octadecatetraenoic) (gm),0.037
White blood cell count (1000 cells/uL),PFA 18:4 (Octadecatetraenoic) (gm),0.003
SFA 18:0 (Octadecanoic) (gm),PFA 18:4 (Octadecatetraenoic) (gm),0.2498
Blood urea nitrogen (mmol/L),PFA 18:4 (Octadecatetraenoic) (gm),0.0522
Total bilirubin (umol/L),PFA 18:4 (Octadecatetraenoic) (gm),-0.0105
Lymphocyte number (1000 cells/uL),PFA 20:4 (Eicosatetraenoic) (gm),0.0161
Osmolality (mmol/Kg),PFA 20:4 (Eicosatetraenoic) (gm),0.065
Aspartate aminotransferase AST (U/L),PFA 20:4 (Eicosatetraenoic) (gm),0.0831
"Triglycerides, refrigerated  (mmol/L)",PFA 20:4 (Eicosatetraenoic) (gm),-0.0067
Vitamin K (mcg),PFA 20:4 (Eicosatetraenoic) (gm),0.2534
Sodium (mg),PFA 20:4 (Eicosatetraenoic) (gm),0.4355
SFA 14:0 (Tetradecanoic) (gm),PFA 20:4 (Eicosatetraenoic) (gm),0.3063
PFA 20:5 (Eicosapentaenoic) (gm),PFA 20:4 (Eicosatetraenoic) (gm),0.4066
Eosinophils number (1000 cells/uL),PFA 20:4 (Eicosatetraenoic) (gm),0.045
Mean cell hemoglobin (pg),PFA 20:4 (Eicosatetraenoic) (gm),0.0469
Total fat (gm),PFA 20:4 (Eicosatetraenoic) (gm),0.4658
Red cell distribution width (%),PFA 20:4 (Eicosatetraenoic) (gm),-0.0442
"Cotinine, Serum (ng/mL)",PFA 20:4 (Eicosatetraenoic) (gm),-0.0107
White blood cell count (1000 cells/uL),PFA 20:4 (Eicosatetraenoic) (gm),0.0111
SFA 10:0 (Decanoic) (gm),PFA 20:4 (Eicosatetraenoic) (gm),0.2882
Red blood cell count (million cells/uL),PFA 20:4 (Eicosatetraenoic) (gm),0.0486
Bicarbonate (mmol/L),PFA 20:4 (Eicosatetraenoic) (gm),0.0565
Riboflavin (Vitamin B2) (mg),PFA 20:4 (Eicosatetraenoic) (gm),0.2841
Potassium (mmol/L),PFA 20:4 (Eicosatetraenoic) (gm),0.059
Thiamin (Vitamin B1) (mg),PFA 20:4 (Eicosatetraenoic) (gm),0.2383
Zinc (mg),PFA 20:4 (Eicosatetraenoic) (gm),0.3467
SFA 8:0 (Octanoic) (gm),PFA 20:4 (Eicosatetraenoic) (gm),0.2187
Lactate dehydrogenase (U/L),PFA 20:4 (Eicosatetraenoic) (gm),0.0044
"Vitamin A, RAE (mcg)",PFA 20:4 (Eicosatetraenoic) (gm),0.2626
Retinol (mcg),PFA 20:4 (Eicosatetraenoic) (gm),0.2521
Blood urea nitrogen (mmol/L),PFA 20:4 (Eicosatetraenoic) (gm),0.1617
Selenium (mcg),PFA 20:4 (Eicosatetraenoic) (gm),0.4327
Lymphocyte percent (%),PFA 20:4 (Eicosatetraenoic) (gm),0.0031
Total bilirubin (umol/L),PFA 20:4 (Eicosatetraenoic) (gm),0.0013
Monocyte number (1000 cells/uL),PFA 20:4 (Eicosatetraenoic) (gm),-0.0255
Alanine aminotransferase ALT (U/L),PFA 20:4 (Eicosatetraenoic) (gm),0.0987
Hemoglobin (g/dL),PFA 20:4 (Eicosatetraenoic) (gm),0.0772
Chloride (mmol/L),PFA 20:4 (Eicosatetraenoic) (gm),-0.0395
Alkaline phosphatase (IU/L),PFA 20:4 (Eicosatetraenoic) (gm),0.072
SFA 4:0 (Butanoic) (gm),PFA 20:4 (Eicosatetraenoic) (gm),0.3059
Uric acid (umol/L),PFA 20:4 (Eicosatetraenoic) (gm),0.0843
Mean cell volume (fL),PFA 20:4 (Eicosatetraenoic) (gm),0.05
Total saturated fatty acids (gm),PFA 20:4 (Eicosatetraenoic) (gm),0.4262
Total polyunsaturated fatty acids (gm),PFA 20:4 (Eicosatetraenoic) (gm),0.412
Total sugars (gm),PFA 20:4 (Eicosatetraenoic) (gm),0.1842
Total protein (g/L),PFA 20:4 (Eicosatetraenoic) (gm),0.0275
Basophils percent (%),PFA 20:4 (Eicosatetraenoic) (gm),0.037
Vitamin C (mg),PFA 20:4 (Eicosatetraenoic) (gm),0.1182
Vitamin B12 (mcg),PFA 20:4 (Eicosatetraenoic) (gm),0.3207
Globulin (g/L),PFA 20:4 (Eicosatetraenoic) (gm),-0.058
Creatinine (umol/L),PFA 20:4 (Eicosatetraenoic) (gm),0.0912
Sodium (mmol/L),PFA 20:4 (Eicosatetraenoic) (gm),0.0215
Monocyte percent (%),PFA 20:4 (Eicosatetraenoic) (gm),-0.0485
Basophils number (1000 cells/uL),PFA 20:4 (Eicosatetraenoic) (gm),0.0079
PFA 22:5 (Docosapentaenoic) (gm),PFA 20:4 (Eicosatetraenoic) (gm),0.5301
Phosphorus (mmol/L),PFA 20:4 (Eicosatetraenoic) (gm),0.0014
"Glucose, refrigerated serum (mmol/L)",PFA 20:4 (Eicosatetraenoic) (gm),5e-04
Hematocrit (%),PFA 20:4 (Eicosatetraenoic) (gm),0.0827
Segmented neutrophils num (1000 cell/uL),PFA 20:4 (Eicosatetraenoic) (gm),0.0061
Theobromine (mg),PFA 20:4 (Eicosatetraenoic) (gm),0.062
Gamma glutamyl transferase (U/L),PFA 20:4 (Eicosatetraenoic) (gm),0.0841
Potassium (mg),PFA 20:4 (Eicosatetraenoic) (gm),0.3668
SFA 16:0 (Hexadecanoic) (gm),PFA 20:4 (Eicosatetraenoic) (gm),0.4605
"Albumin, urine (mg/L)",PFA 20:4 (Eicosatetraenoic) (gm),-0.1037
Albumin (g/L),PFA 20:4 (Eicosatetraenoic) (gm),0.1243
SFA 18:0 (Octadecanoic) (gm),PFA 20:4 (Eicosatetraenoic) (gm),0.4492
Platelet count (1000 cells/uL),PFA 20:4 (Eicosatetraenoic) (gm),-0.0172
Vitamin B6 (mg),PFA 20:4 (Eicosatetraenoic) (gm),0.3142
SFA 6:0 (Hexanoic) (gm),PFA 20:4 (Eicosatetraenoic) (gm),0.2369
SFA 12:0 (Dodecanoic) (gm),PFA 20:4 (Eicosatetraenoic) (gm),0.2032
Cholesterol (mmol/L),PFA 20:4 (Eicosatetraenoic) (gm),0.0279
"Iron, refrigerated serum  (umol/L)",PFA 20:4 (Eicosatetraenoic) (gm),0.0339
Total calcium (mmol/L),PFA 20:4 (Eicosatetraenoic) (gm),0.0517
Segmented neutrophils percent (%),PFA 20:4 (Eicosatetraenoic) (gm),-0.0044
Glycohemoglobin (%),PFA 20:4 (Eicosatetraenoic) (gm),0.0098
Eosinophils percent (%),PFA 20:4 (Eicosatetraenoic) (gm),0.0512
Phosphorus (mg),PFA 20:4 (Eicosatetraenoic) (gm),0.4057
PFA 22:6 (Docosahexaenoic) (gm),PFA 20:4 (Eicosatetraenoic) (gm),0.3896
Protein (gm),PFA 20:4 (Eicosatetraenoic) (gm),0.4744
Mean platelet volume (fL),PFA 20:4 (Eicosatetraenoic) (gm),-0.0343
Theobromine (mg),PFA 20:5 (Eicosapentaenoic) (gm),0.0331
Potassium (mg),PFA 20:5 (Eicosapentaenoic) (gm),0.2685
Vitamin C (mg),PFA 20:5 (Eicosapentaenoic) (gm),0.119
Globulin (g/L),PFA 20:5 (Eicosapentaenoic) (gm),-0.0957
White blood cell count (1000 cells/uL),PFA 20:5 (Eicosapentaenoic) (gm),-0.0028
Basophils percent (%),PFA 20:5 (Eicosapentaenoic) (gm),0.0577
Hematocrit (%),PFA 20:5 (Eicosapentaenoic) (gm),0.0259
SFA 8:0 (Octanoic) (gm),PFA 20:5 (Eicosapentaenoic) (gm),0.2734
Hemoglobin (g/dL),PFA 20:5 (Eicosapentaenoic) (gm),0.034
Alkaline phosphatase (IU/L),PFA 20:5 (Eicosapentaenoic) (gm),0.0462
Bicarbonate (mmol/L),PFA 20:5 (Eicosapentaenoic) (gm),0.0274
Phosphorus (mmol/L),PFA 20:5 (Eicosapentaenoic) (gm),0.0459
Glycohemoglobin (%),PFA 20:5 (Eicosapentaenoic) (gm),-0.0048
Total fat (gm),PFA 20:5 (Eicosapentaenoic) (gm),0.3856
Retinol (mcg),PFA 20:5 (Eicosapentaenoic) (gm),0.3395
SFA 12:0 (Dodecanoic) (gm),PFA 20:5 (Eicosapentaenoic) (gm),0.2665
Mean platelet volume (fL),PFA 20:5 (Eicosapentaenoic) (gm),-0.0144
Potassium (mmol/L),PFA 20:5 (Eicosapentaenoic) (gm),0.0511
Lymphocyte number (1000 cells/uL),PFA 20:5 (Eicosapentaenoic) (gm),-0.0037
Eosinophils number (1000 cells/uL),PFA 20:5 (Eicosapentaenoic) (gm),0.0681
SFA 18:0 (Octadecanoic) (gm),PFA 20:5 (Eicosapentaenoic) (gm),0.3604
Gamma glutamyl transferase (U/L),PFA 20:5 (Eicosapentaenoic) (gm),0.0316
Creatinine (umol/L),PFA 20:5 (Eicosapentaenoic) (gm),0.0022
Lactate dehydrogenase (U/L),PFA 20:5 (Eicosapentaenoic) (gm),0.0504
Sodium (mmol/L),PFA 20:5 (Eicosapentaenoic) (gm),-0.0187
Aspartate aminotransferase AST (U/L),PFA 20:5 (Eicosapentaenoic) (gm),0.0646
Osmolality (mmol/Kg),PFA 20:5 (Eicosapentaenoic) (gm),0.0049
Segmented neutrophils percent (%),PFA 20:5 (Eicosapentaenoic) (gm),0.019
SFA 4:0 (Butanoic) (gm),PFA 20:5 (Eicosapentaenoic) (gm),0.3746
Uric acid (umol/L),PFA 20:5 (Eicosapentaenoic) (gm),0.0283
Sodium (mg),PFA 20:5 (Eicosapentaenoic) (gm),0.377
Red blood cell count (million cells/uL),PFA 20:5 (Eicosapentaenoic) (gm),0.0296
Red cell distribution width (%),PFA 20:5 (Eicosapentaenoic) (gm),-0.0115
Zinc (mg),PFA 20:5 (Eicosapentaenoic) (gm),0.3377
Vitamin B12 (mcg),PFA 20:5 (Eicosapentaenoic) (gm),0.3212
Platelet count (1000 cells/uL),PFA 20:5 (Eicosapentaenoic) (gm),-0.0409
Chloride (mmol/L),PFA 20:5 (Eicosapentaenoic) (gm),0.0689
Blood urea nitrogen (mmol/L),PFA 20:5 (Eicosapentaenoic) (gm),0.0912
Total saturated fatty acids (gm),PFA 20:5 (Eicosapentaenoic) (gm),0.4092
Thiamin (Vitamin B1) (mg),PFA 20:5 (Eicosapentaenoic) (gm),0.2653
Total protein (g/L),PFA 20:5 (Eicosapentaenoic) (gm),-0.0675
"Albumin, urine (mg/L)",PFA 20:5 (Eicosapentaenoic) (gm),-0.0805
Alanine aminotransferase ALT (U/L),PFA 20:5 (Eicosapentaenoic) (gm),0.1017
Total bilirubin (umol/L),PFA 20:5 (Eicosapentaenoic) (gm),-0.0105
Cholesterol (mmol/L),PFA 20:5 (Eicosapentaenoic) (gm),-0.0211
Monocyte number (1000 cells/uL),PFA 20:5 (Eicosapentaenoic) (gm),-0.0978
SFA 10:0 (Decanoic) (gm),PFA 20:5 (Eicosapentaenoic) (gm),0.3332
Monocyte percent (%),PFA 20:5 (Eicosapentaenoic) (gm),-0.1037
Basophils number (1000 cells/uL),PFA 20:5 (Eicosapentaenoic) (gm),-0.008
"Iron, refrigerated serum  (umol/L)",PFA 20:5 (Eicosapentaenoic) (gm),-0.0061
PFA 22:6 (Docosahexaenoic) (gm),PFA 20:5 (Eicosapentaenoic) (gm),0.4062
Vitamin K (mcg),PFA 20:5 (Eicosapentaenoic) (gm),0.2241
Riboflavin (Vitamin B2) (mg),PFA 20:5 (Eicosapentaenoic) (gm),0.2938
SFA 14:0 (Tetradecanoic) (gm),PFA 20:5 (Eicosapentaenoic) (gm),0.3852
"Vitamin A, RAE (mcg)",PFA 20:5 (Eicosapentaenoic) (gm),0.256
Selenium (mcg),PFA 20:5 (Eicosapentaenoic) (gm),0.3663
Lymphocyte percent (%),PFA 20:5 (Eicosapentaenoic) (gm),2e-04
"Glucose, refrigerated serum (mmol/L)",PFA 20:5 (Eicosapentaenoic) (gm),-0.0338
SFA 16:0 (Hexadecanoic) (gm),PFA 20:5 (Eicosapentaenoic) (gm),0.4162
Total sugars (gm),PFA 20:5 (Eicosapentaenoic) (gm),0.1152
Mean cell hemoglobin (pg),PFA 20:5 (Eicosapentaenoic) (gm),0.0087
"Triglycerides, refrigerated  (mmol/L)",PFA 20:5 (Eicosapentaenoic) (gm),0.0083
Vitamin B6 (mg),PFA 20:5 (Eicosapentaenoic) (gm),0.3065
Protein (gm),PFA 20:5 (Eicosapentaenoic) (gm),0.4155
Albumin (g/L),PFA 20:5 (Eicosapentaenoic) (gm),0.0305
SFA 6:0 (Hexanoic) (gm),PFA 20:5 (Eicosapentaenoic) (gm),0.315
"Cotinine, Serum (ng/mL)",PFA 20:5 (Eicosapentaenoic) (gm),-0.0736
Eosinophils percent (%),PFA 20:5 (Eicosapentaenoic) (gm),0.0866
Mean cell volume (fL),PFA 20:5 (Eicosapentaenoic) (gm),-0.006
Phosphorus (mg),PFA 20:5 (Eicosapentaenoic) (gm),0.3909
Segmented neutrophils num (1000 cell/uL),PFA 20:5 (Eicosapentaenoic) (gm),0.0063
Total polyunsaturated fatty acids (gm),PFA 20:5 (Eicosapentaenoic) (gm),0.3066
PFA 22:5 (Docosapentaenoic) (gm),PFA 20:5 (Eicosapentaenoic) (gm),0.6097
Total calcium (mmol/L),PFA 20:5 (Eicosapentaenoic) (gm),-0.0332
Theobromine (mg),PFA 22:5 (Docosapentaenoic) (gm),0.051
Vitamin C (mg),PFA 22:5 (Docosapentaenoic) (gm),0.1697
PFA 22:6 (Docosahexaenoic) (gm),PFA 22:5 (Docosapentaenoic) (gm),0.5308
Basophils number (1000 cells/uL),PFA 22:5 (Docosapentaenoic) (gm),-0.0452
SFA 16:0 (Hexadecanoic) (gm),PFA 22:5 (Docosapentaenoic) (gm),0.4188
Potassium (mmol/L),PFA 22:5 (Docosapentaenoic) (gm),0.0309
Gamma glutamyl transferase (U/L),PFA 22:5 (Docosapentaenoic) (gm),0.0151
Total calcium (mmol/L),PFA 22:5 (Docosapentaenoic) (gm),-7e-04
Alanine aminotransferase ALT (U/L),PFA 22:5 (Docosapentaenoic) (gm),0.0639
Monocyte percent (%),PFA 22:5 (Docosapentaenoic) (gm),-0.0412
Chloride (mmol/L),PFA 22:5 (Docosapentaenoic) (gm),0.0267
Riboflavin (Vitamin B2) (mg),PFA 22:5 (Docosapentaenoic) (gm),0.281
Alkaline phosphatase (IU/L),PFA 22:5 (Docosapentaenoic) (gm),0.0444
Uric acid (umol/L),PFA 22:5 (Docosapentaenoic) (gm),-0.004
Lactate dehydrogenase (U/L),PFA 22:5 (Docosapentaenoic) (gm),0.0622
Zinc (mg),PFA 22:5 (Docosapentaenoic) (gm),0.3076
Lymphocyte percent (%),PFA 22:5 (Docosapentaenoic) (gm),0.0643
Total bilirubin (umol/L),PFA 22:5 (Docosapentaenoic) (gm),-0.0314
Monocyte number (1000 cells/uL),PFA 22:5 (Docosapentaenoic) (gm),-0.1079
Total polyunsaturated fatty acids (gm),PFA 22:5 (Docosapentaenoic) (gm),0.3196
Hematocrit (%),PFA 22:5 (Docosapentaenoic) (gm),-0.0508
Phosphorus (mg),PFA 22:5 (Docosapentaenoic) (gm),0.3786
White blood cell count (1000 cells/uL),PFA 22:5 (Docosapentaenoic) (gm),-0.0753
Total protein (g/L),PFA 22:5 (Docosapentaenoic) (gm),-0.0652
Vitamin K (mcg),PFA 22:5 (Docosapentaenoic) (gm),0.2321
Selenium (mcg),PFA 22:5 (Docosapentaenoic) (gm),0.389
SFA 18:0 (Octadecanoic) (gm),PFA 22:5 (Docosapentaenoic) (gm),0.3839
SFA 12:0 (Dodecanoic) (gm),PFA 22:5 (Docosapentaenoic) (gm),0.2111
"Glucose, refrigerated serum (mmol/L)",PFA 22:5 (Docosapentaenoic) (gm),0.0531
"Vitamin A, RAE (mcg)",PFA 22:5 (Docosapentaenoic) (gm),0.2993
Cholesterol (mmol/L),PFA 22:5 (Docosapentaenoic) (gm),0.0464
Globulin (g/L),PFA 22:5 (Docosapentaenoic) (gm),-0.0966
SFA 10:0 (Decanoic) (gm),PFA 22:5 (Docosapentaenoic) (gm),0.3123
Red blood cell count (million cells/uL),PFA 22:5 (Docosapentaenoic) (gm),-0.0505
SFA 14:0 (Tetradecanoic) (gm),PFA 22:5 (Docosapentaenoic) (gm),0.3483
Sodium (mmol/L),PFA 22:5 (Docosapentaenoic) (gm),-0.0269
Lymphocyte number (1000 cells/uL),PFA 22:5 (Docosapentaenoic) (gm),-0.0137
"Cotinine, Serum (ng/mL)",PFA 22:5 (Docosapentaenoic) (gm),-0.069
Osmolality (mmol/Kg),PFA 22:5 (Docosapentaenoic) (gm),0.0104
Total fat (gm),PFA 22:5 (Docosapentaenoic) (gm),0.3845
"Albumin, urine (mg/L)",PFA 22:5 (Docosapentaenoic) (gm),-0.0482
Bicarbonate (mmol/L),PFA 22:5 (Docosapentaenoic) (gm),0.0295
